Colour name:	gray
Number of non-unique CAUS samples:	599
Number of unique CAUS samples:	485
Centroid in Munsell coordinates:	9.62P 5.25/0.55
Centroid in Cartesian coordinates:	 0.43	-0.33	5.25
Polyhedron vertices in Munsell coordinates:
0.37R 2.68/1.04
3.16R 4.78/2.49
4.35R 4.29/2.13
7.10R 2.80/1.10
7.32R 2.09/0.60
9.42R 5.78/2.46
0.15YR 3.12/1.27
1.25YR 7.11/2.14
1.85YR 6.08/2.46
9.63YR 5.38/2.64
0.80Y 8.52/1.93
1.40Y 7.32/3.21
3.75Y 2.26/1.00
7.62Y 8.52/0.55
0.65GY 7.11/1.68
1.56GY 4.03/1.43
3.25GY 8.36/0.76
3.55GY 8.46/0.20
3.73GY 8.36/0.73
6.75GY 4.21/1.16
7.46GY 5.39/1.33
3.08B 7.07/1.27
4.36B 3.77/1.21
8.96B 7.75/1.29
9.25B 5.49/3.22
9.52B 2.65/1.01
2.64PB 2.10/0.76
3.29PB 8.01/0.64
4.53PB 5.21/3.85
4.83PB 6.69/2.29
5.20PB 3.17/2.22
7.00PB 3.77/3.10
7.61PB 4.77/4.04
7.78PB 6.16/2.80
0.14P 3.10/2.70
0.68P 3.47/3.08
1.10P 1.99/0.49
8.02P 4.46/2.90
4.82RP 5.27/2.44
Polyhedron vertices in Cartesian coordinates:
1999-00	fw	women	Drizzle Gray	4.35Y 5.77/1.13	24.35
1987	ss	women	Light Grey	4.55Y 7.43/0.99	24.55
1989-90	fw	men	Grey Green	4.63Y 3.21/0.87	24.63
1984-85	fw	men	Olive Grey	5.00Y 2.40/1.30	25.00
1960-61	fw	women	Barrister Gray	5.41Y 4.56/0.70	25.41
2004-05	fw	men	Convincing Gray	5.50Y 3.59/0.44	25.50
1948-49	fw	silk	Turtledove Grey	5.72Y 5.43/0.82	25.72
2005-06	fw	men	Diffusion Gray	5.80Y 5.06/1.26	25.80
1978-79	fw	women	Willow Gray	6.28Y 7.60/0.92	26.28
1984-85	fw	men	Grey Charteuse	6.75Y 5.93/2.95	26.75
2001	ss	men	Stable Gray	6.80Y 6.47/3.13	26.80
1991-92	fw	youth	zwizzle gray	6.98Y 7.65/0.36	26.98
1983	ss	men	Discus Gray	7.13Y 5.99/0.32	27.13
1960	ss	silk	Crystal Gray	7.62Y 7.56/0.48	27.62
1995	ss	youth	Fog Gray	7.62Y 8.52/0.55	27.62
1995-96	fw	women	Light Olive Gray	7.68Y 5.88/1.58	27.68
1965-66	fw	silk	Gray Sand	7.76Y 7.65/0.56	27.76
1969-70	fw	women	Oyster Gray	8.11Y 7.00/0.98	28.11
1984-85	na	interiors	Skyscraper Grey	8.34Y 6.28/0.92	28.34
1953	ss	silk	Chrome Gray	8.47Y 6.31/0.20	28.47
1994-95	fw	youth	Distant Gray	9.98Y 6.74/0.40	29.98
1985	ss	men	Foam Grey	0.17GY 6.18/0.72	30.17
1989-90	fw	women	Light Grey	0.60GY 6.61/0.40	30.60
1988	ss	women	Yellowish Gray	0.65GY 7.11/1.68	30.65
1985-86	na	interiors	Grey Stone	0.90GY 6.98/0.47	30.90
1985-86	fw	men	Lichen Grey	1.35GY 6.68/0.91	31.35
1988-89	fw	men	Olive Grey	1.56GY 4.03/1.43	31.56
1999-2000	na	interiors	Olive Gray	1.69GY 3.79/0.85	31.69
1999	ss	men	Crystalline Gray	2.01GY 7.42/0.32	32.01
2002	ss	youth	Chatham Gray	3.02GY 9.28/1.23	33.02
1982	ss	men	Sprinkle of Grey	3.18GY 7.34/0.49	33.18
1966	ss	silk	Gray Crystal	3.25GY 8.36/0.76	33.25
2012-13	fw	men	Tech Gray	3.55GY 8.46/0.20	33.55
1966-67	fw	silk	Grey Crystal	3.73GY 8.36/0.73	33.73
1989-90	fw	women	Green Grey	3.76GY 6.58/0.96	33.76
1968	ss	women	Silent Gray	3.77GY 4.94/0.15	33.77
2000	ss	women	Negative Grey	3.87GY 5.84/0.86	33.87
1984-85	fw	women	Media Grey	3.88GY 4.32/0.19	33.88
1954-55	fw	silk	Lustre Gray	4.55GY 5.70/0.08	34.55
1983	ss	women	Canter Gray	5.15GY 7.01/0.47	35.15
1999-2000	na	interiors	Dark Gray	5.48GY 3.20/0.20	35.48
1990	ss	youth	Sandpiper Gray	6.07GY 7.05/0.15	36.07
2002-03	fw	women	Thread Gray	6.75GY 4.21/1.16	36.75
1984-85	fw	men	Cadet Grey	7.00GY 4.53/0.22	37.00
2005	ss	men	Soothing Gray	7.46GY 5.39/1.33	37.46
1989	ss	men	Graystone	7.71GY 5.57/0.36	37.71
1989-90	na	interiors	pearl grey	8.57GY 7.60/0.17	38.57
1991	ss	youth	Shingle Gray	8.82GY 6.38/0.35	38.82
2005	ss	men	Whisper Gray	9.42GY 6.58/0.51	39.42
1995-96	fw	women	Light Greenish Gray	1.24G 7.44/1.35	41.24
1963-64	fw	women	Gray Taupe	5.26G 2.79/0.24	45.26
1990	ss	men	Greened Gray	7.97G 5.56/1.69	47.97
1999-2000	fw	youth	Steamship Gray	1.06BG 3.64/2.04	51.06
1987-88	fw	women	Grey Moon	3.73BG 7.43/0.58	53.73
1986	ss	men	Counterpoint Grey	4.07BG 6.08/0.44	54.07
1992	ss	men	Pumice Gray	4.23BG 6.79/0.40	54.23
1966	ss	women	Pearly Gray	5.75BG 6.53/0.10	55.75
2004-05	fw	men	Gallant Gray	6.95BG 5.07/0.34	56.95
1983	ss	men	Gammon Gray	8.09BG 6.32/0.61	58.09
1991-92	na	interiors	dale grey	1.34B 6.84/1.11	61.34
