hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#3b7861,59,120,97,6.4GY 4.5/3.8,6.4,GY,4.5,3.8,51,119,102,7.7G 4.5/5.3,7.7,G,4.5,5.3,11.30,0.00,-1.50,9.5
#1b4d3e,27,77,62,5.5G 2.9/4.8,5.5,G,2.9,4.8,34,68,68,3.3BG 2.6/3.1,3.3,BG,2.6,3.1,7.80,0.30,1.70,12.9
#1c352d,28,53,45,9GY 1.8/1.7,9,GY,1.8,1.7,34,51,51,2.3BG 2.0/2.2,2.3,BG,2.0,2.2,13.30,-0.20,-0.50,8.7
#c7e6d7,199,230,215,3.5G 8.9/3.3,3.5,G,8.9,3.3,204,221,221,7.6G 8.7/1.6,7.6,G,8.7,1.6,4.10,0.20,1.70,11.9
#8da399,141,163,153,4.9G 6.4/2.5,4.9,G,6.4,2.5,136,170,153,3.6G 6.6/3.4,3.6,G,6.6,3.4,1.30,-0.20,-0.90,8.6
#5e716a,94,113,106,7.9G 4.5/1.5,7.9,G,4.5,1.5,102,119,102,10.0GY 4.7/2.6,10,GY,4.7,2.6,7.90,-0.20,-1.10,10.8
#3a4b47,58,75,71,1.5BG 3.1/1.9,1.5,BG,3.1,1.9,51,68,68,1.8BG 2.7/2.0,1.8,BG,2.7,2.0,0.30,0.40,-0.10,10.3
#1a2421,26,36,33,10GY 1.2/0.6,10,GY,1.2,0.6,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,3.70,-0.10,0.20,8.3
#dfede8,223,237,232,3.1G 9.5/2.1,3.1,G,9.5,2.1,221,238,238,7.1G 9.3/2.1,7.1,G,9.3,2.1,4.00,0.20,0.00,6.4
#b2beb5,178,190,181,10GY 7.5/2.1,10,GY,7.5,2.1,170,187,187,8.4G 7.4/1.6,8.4,G,7.4,1.6,8.40,0.10,0.50,10.4
#7d8984,125,137,132,3G 5.4/1.1,3,G,5.4,1.1,119,136,136,9.9G 5.4/1.7,9.9,G,5.4,1.7,6.90,0.00,-0.60,7.3
#4e5755,78,87,85,1.5G 3.8/0.9,1.5,G,3.8,0.9,85,85,85,7.2GY 3.6/0.5,7.2,GY,3.6,0.5,4.30,0.20,0.40,7.3
#1e2321,30,35,33,8.1GY 1.2/0.3,8.1,GY,1.2,0.3,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,1.80,-0.10,-0.10,4.2
#008882,0,136,130,4.8BG 5.0/6.7,4.8,BG,5.0,6.7,0,136,136,4.9BG 5.0/6.9,4.9,BG,5.0,6.9,0.10,0.00,-0.20,6.0
#00a693,0,166,147,1.1BG 6.0/8.1,1.1,BG,6.0,8.1,0,170,153,1.5BG 6.2/8.5,1.5,BG,6.2,8.5,0.40,-0.20,-0.40,7.2
#007a74,0,122,116,4.6BG 4.5/6.1,4.6,BG,4.5,6.1,0,119,119,4.6BG 4.4/6.1,4.6,BG,4.4,6.1,0.00,0.10,0.00,4.2
#00443f,0,68,63,3.6BG 2.4/4.2,3.6,BG,2.4,4.2,0,68,68,3.7BG 2.5/4.5,3.7,BG,2.5,4.5,0.10,-0.10,-0.30,5.0
