source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
reference,0,85,238,2.6PB 6.1/12.4,2.6,PB,6.1,12.4,True,7.5PB 4.2/4.0,7.5,PB,4.2,4.0,True,6.7PB 4.2/19.2,6.7,PB,4.2,19.2,-4.900000000000006,1.8999999999999995,8.4,ALL_DIFFERENT,All three results are different
reference,0,119,187,4.3B 6.8/8.9,4.3,B,6.8,8.9,True,5.0PB 4.7/2.0,5.0,PB,4.7,2.0,True,1.8PB 4.7/9.8,1.8,PB,4.7,9.8,-10.700000000000003,2.0999999999999996,6.9,ALL_DIFFERENT,All three results are different
reference,0,68,34,4.7G 5.1/8.5,4.7,G,5.1,8.5,True,10.0GY 2.4/2.0,10.0,GY,2.4,2.0,True,1.2G 2.4/6.5,1.2,G,2.4,6.5,4.700000000000003,2.6999999999999997,6.5,ALL_DIFFERENT,All three results are different
reference,0,85,255,3.3PB 6.2/13.1,3.3,PB,6.2,13.1,True,7.5PB 4.4/4.0,7.5,PB,4.4,4.0,True,6.8PB 4.3/21.0,6.8,PB,4.3,21.0,-4.200000000000003,1.7999999999999998,9.1,ALL_DIFFERENT,All three results are different
reference,0,119,204,5.8B 6.8/9.3,5.8,B,6.8,9.3,True,5.0PB 4.8/2.0,5.0,PB,4.8,2.0,True,3.8PB 4.8/11.7,3.8,PB,4.8,11.7,-9.200000000000003,2.0,7.300000000000001,ALL_DIFFERENT,All three results are different
reference,0,68,51,0.3BG 5.1/7.5,0.3,BG,5.1,7.5,True,5.0G 2.5/2.0,5.0,G,2.5,2.0,True,5.5G 2.5/5.3,5.5,G,2.5,5.3,5.299999999999997,2.5999999999999996,5.5,ALL_DIFFERENT,All three results are different
reference,0,102,0,9.6GY 5.9/14.7,9.6,GY,5.9,14.7,True,5.0GY 3.6/2.0,5.0,GY,3.6,2.0,True,9.1GY 3.6/10.2,9.1,GY,3.6,10.2,4.600000000000001,2.3000000000000003,12.7,ALL_DIFFERENT,All three results are different
reference,0,119,221,7.3B 6.8/9.8,7.3,B,6.8,9.8,True,5.0PB 4.9/2.0,5.0,PB,4.9,2.0,True,5.2PB 4.9/13.7,5.2,PB,4.9,13.7,-7.700000000000003,1.8999999999999995,7.800000000000001,ALL_DIFFERENT,All three results are different
reference,0,68,68,4.9BG 5.2/7.0,4.9,BG,5.2,7.0,True,2.5BG 2.5/2.0,2.5,BG,2.5,2.0,True,3.7BG 2.5/4.5,3.7,BG,2.5,4.5,2.3999999999999986,2.7,5.0,ALL_DIFFERENT,All three results are different
reference,0,102,17,1.1G 6.0/12.4,1.1,G,6.0,12.4,True,5.0GY 3.6/2.0,5.0,GY,3.6,2.0,True,9.5GY 3.6/9.7,9.5,GY,3.6,9.7,6.100000000000001,2.4,10.4,ALL_DIFFERENT,All three results are different
