name,coordinates
Brick Light Brown,#9C661F
Peat Brown,#5A3D29
Desert Brown,#AE6020
Beautiful Brown,#614237
Espresso Brown,#612718
Woody Brown,#483131
Nutria Fur Brown,#514035
Brown Bramble,#592804
Dark Cedar Brown,#3E1C14
Livid Brown,#4D282E
Brown Ochre,#87421F
Dark Saddle Brown,#583401
Dark Greyish Brown,#5E5956
Warm Dark Brown,#4C270E
Lotus Brown,#863C3C
Leather Brown,#97572B
Brown Granite,#615550
Brown Pod,#401801
Peanut Brown,#782F16
Abstract Brown,#574D49
Faded Brown,#91827A
Sanguine Brown,#8D3D38
Brown Derby,#492615
Cowboy Brown,#5D3320
Congo Brown,#593737
Cork Brown,#40291D
Oak Brown (RAL Design),#A18D80
Brown Madder,#DB2929
Kawaii Brown,#A57569
Balance Brown,#8A5B48
Donkey Brown,#A69279
Charming Brown,#955D38
Tree Bark Brown,#665B4E
Deep Cinnamon Brown,#7B3F00
Authentic Brown,#4D3B33
Light Brown Leather,#967059
Sorrell Brown,#CEB98F
Crater Brown,#462425
Lisbon Brown,#423921
Cowgirl Brown,#744633
Quicksand Brown,#BD978E
Cocoa Dark Brown,#301F1E
Nutmeg Brown,#81422C
Pumpkin Brown,#B1610B
Forgotten Brown,#857A73
Brick Brown (RAL Design),#8B4B47
Arabic Brown,#AF886C
